Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
group19,com.github.codergate.utils,JwtUtilsTest,testGetGithubSpecificHeaders,7,1,0,12,1,com.github.codergate.utils.JwtUtils,com.github.codergate.utils.JwtUtils
group19,com.github.codergate.utils,MapperTest,testGetInstanceNotNull,4,1,0,9,1,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper
group19,com.github.codergate.utils,MapperTest,testGetInstanceNull,10,1,0,15,1,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper
group19,com.github.codergate.utils,MapperTest,testGetInstanceReturnsSameInstance,5,1,0,26,1,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper
group19,com.github.codergate.utils,Mapper,Mapper,2,1,0,9,0,,
group19,com.github.codergate.utils,Mapper,getInstance,4,2,0,13,0,,
group19,com.github.codergate.utils,JwtUtils,generateJwtToken,20,1,1,30,0,com.github.codergate.utils.JwtUtils,com.github.codergate.utils.JwtUtils
group19,com.github.codergate.utils,JwtUtils,getGithubSpecificHeaders,5,1,0,74,0,,
group19,com.github.codergate.utils,JwtUtils,readPrivateKey,6,1,1,85,0,,
group19,com.github.codergate.utils,JwtUtils,JwtUtils,2,1,0,101,0,,
group19,com.github.codergate.utils,RestClient,invokeForPost,32,4,4,40,0,com.github.codergate.utils.RestClient,com.github.codergate.utils.RestClient; com.github.codergate.utils.Mapper
group19,com.github.codergate.utils,RestClient,invokeForPut,32,4,4,81,0,com.github.codergate.utils.RestClient,com.github.codergate.utils.RestClient; com.github.codergate.utils.Mapper
group19,com.github.codergate.utils,RestClient,invokeForGet,31,4,3,121,0,com.github.codergate.utils.RestClient,com.github.codergate.utils.RestClient; com.github.codergate.utils.Mapper
group19,com.github.codergate.utils,RestClient,appendAuthenticationHeaders,8,2,2,156,0,com.github.codergate.utils.JwtUtils,com.github.codergate.utils.JwtUtils; com.github.codergate.utils.RestClient
group19,com.github.codergate.utils,RestClient,generateAccessFromJwtToken,19,4,2,172,0,com.github.codergate.utils.JwtUtils,com.github.codergate.utils.JwtUtils
group19,com.github.codergate.utils,RestClient,RestClient,2,1,0,200,0,,
group19,com.github.codergate.utils,Constants,Constants,3,1,0,5,0,,
group19,com.github.codergate,CoderGateApplicationTests,contextLoads,2,1,0,12,1,,
group19,com.github.codergate,CoderGateApplicationTests,applicationContextTest,3,1,0,16,1,com.github.codergate.CoderGateApplication,com.github.codergate.CoderGateApplication
group19,com.github.codergate,CoderGateApplication,main,3,1,1,9,0,,
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDataIsNull,7,1,0,30,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDTOValueIsNull,5,1,0,40,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDTOIsEmpty,9,1,0,48,1,com.github.codergate.services.UserService,com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenSomeDataIsMissing,8,1,0,61,1,com.github.codergate.services.UserService,com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDataIsPresent,10,1,0,72,1,com.github.codergate.services.UserService,com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity
group19,com.github.codergate.services,UserServiceTest,testConvertSenderDTOToEntityWhenDataIsPresent,11,1,0,85,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity
group19,com.github.codergate.services,UserServiceTest,testConvertSenderDTOToEntityWhenSomeDataIsMissing,11,1,0,98,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity
group19,com.github.codergate.services,UserServiceTest,testConvertSenderDTOToEntityWhenAllDataAreNull,10,1,0,112,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity
group19,com.github.codergate.services,UserServiceTest,testConvertEntityToAccountDTOWithNonNullValues,11,1,0,125,1,com.github.codergate.services.UserService,com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testConvertEntityToAccountDTOWithEmptyInput,7,1,0,146,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService; com.github.codergate.dto.installation.AccountDTO
group19,com.github.codergate.services,UserServiceTest,testConvertEntityToAccountDTOWithNullInput,5,1,0,162,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testDeleteUserByID,7,1,0,174,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testDeleteUserByIDWhenNull,6,1,0,187,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testGetUserByID,12,1,0,196,1,com.github.codergate.services.UserService,com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testGetUserByIDWhenIdIsNull,5,1,0,214,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testAddUser,13,1,0,223,1,com.github.codergate.services.UserService,com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testAddUserWithNullValues,5,1,0,244,1,com.github.codergate.services.UserService,com.github.codergate.services.UserService
group19,com.github.codergate.services,UserServiceTest,testAddUserHandlesException,8,1,0,255,1,com.github.codergate.dto.installation.AccountDTO,com.github.codergate.dto.installation.AccountDTO
group19,com.github.codergate.services,WebHookListenerService,listen,22,8,1,81,0,com.github.codergate.services.WebHookListenerService,com.github.codergate.services.WebHookListenerService
group19,com.github.codergate.services,WebHookListenerService,handleNewRepositoryInstallation,15,5,1,114,0,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper; com.github.codergate.dto.installation.InstallationPayloadDTO; com.github.codergate.services.WebHookListenerService
group19,com.github.codergate.services,WebHookListenerService,handleRepositoryAddition,13,4,3,139,0,com.github.codergate.dto.installation.Installation,com.github.codergate.dto.installation.Installation; com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService; com.github.codergate.services.RepositoryService; com.github.codergate.services.EventService
group19,com.github.codergate.services,WebHookListenerService,handleRepositoryCreation,11,2,3,160,0,com.github.codergate.dto.installation.Installation,com.github.codergate.dto.installation.Installation; com.github.codergate.utils.Mapper; com.github.codergate.services.UserService; com.github.codergate.services.RepositoryService; com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.EventService
group19,com.github.codergate.services,WebHookListenerService,removeRepository,18,5,1,182,0,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper; com.github.codergate.dto.installation.InstallationPayloadDTO; com.github.codergate.dto.installation.Installation; com.github.codergate.services.RepositoryService; com.github.codergate.dto.installation.RepositoriesAddedDTO
group19,com.github.codergate.services,WebHookListenerService,handleInstallationDeletion,13,3,1,217,0,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper; com.github.codergate.dto.installation.InstallationPayloadDTO; com.github.codergate.dto.installation.Installation; com.github.codergate.dto.installation.AccountDTO; com.github.codergate.services.UserService
group19,com.github.codergate.services,WebHookListenerService,handlePushEvent,16,2,1,244,0,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper; com.github.codergate.dto.push.PusherPayloadDTO; com.github.codergate.services.UserService; com.github.codergate.dto.push.SenderDTO; com.github.codergate.dto.push.PusherDTO; com.github.codergate.services.RepositoryService; com.github.codergate.dto.push.RepositoryDTO; com.github.codergate.dto.push.OwnerDTO; com.github.codergate.dto.push.InstallationDTO; com.github.codergate.services.TagService; com.github.codergate.services.BranchService; com.github.codergate.services.ThresholdService
group19,com.github.codergate.services,WebHookListenerService,handlePullRequestEvent,20,4,1,276,0,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper; com.github.codergate.dto.pullRequest.Payload; com.github.codergate.services.UserService; com.github.codergate.dto.pullRequest.Sender; com.github.codergate.services.RepositoryService; com.github.codergate.dto.pullRequest.Repository; com.github.codergate.dto.pullRequest.Owner__2; com.github.codergate.dto.pullRequest.Installation; com.github.codergate.services.TagService; com.github.codergate.services.BranchService; com.github.codergate.services.EventService; com.github.codergate.services.PullRequestService; com.github.codergate.services.utility.WebHookListenerUtil; com.github.codergate.dto.pullRequest.PullRequest
group19,com.github.codergate.services,WebHookListenerService,configureCodeScanning,37,6,1,305,0,com.github.codergate.utils.Mapper,com.github.codergate.utils.Mapper; com.github.codergate.dto.installation.InstallationPayloadDTO; com.github.codergate.dto.installation.Installation; com.github.codergate.dto.installation.AccountDTO; com.github.codergate.dto.installation.RepositoriesDTO; com.github.codergate.utils.RestClient; com.github.codergate.utils.JwtUtils
group19,com.github.codergate.services,RepositoryService,addRepository,10,2,2,29,0,com.github.codergate.services.RepositoryService,com.github.codergate.services.RepositoryService
group19,com.github.codergate.services,RepositoryService,addRepository,8,2,5,46,0,com.github.codergate.services.RepositoryService,com.github.codergate.services.RepositoryService
group19,com.github.codergate.services,RepositoryService,getRepositoryById,16,3,1,61,0,com.github.codergate.services.RepositoryService,com.github.codergate.services.RepositoryService
group19,com.github.codergate.services,RepositoryService,updateRepository,14,2,1,84,0,com.github.codergate.services.RepositoryService,com.github.codergate.services.RepositoryService
group19,com.github.codergate.services,RepositoryService,deleteRepositoryById,9,2,1,106,0,,
group19,com.github.codergate.services,RepositoryService,convertDTOToEntityForInstallationEvent,20,2,2,124,0,com.github.codergate.dto.installation.RepositoriesAddedDTO,com.github.codergate.dto.installation.RepositoriesAddedDTO
group19,com.github.codergate.services,RepositoryService,convertDTOToEntityForPushEvent,13,1,5,153,0,,
group19,com.github.codergate.services,RepositoryService,convertEntityToDTO,17,2,1,173,0,com.github.codergate.dto.installation.RepositoriesAddedDTO,com.github.codergate.dto.installation.RepositoriesAddedDTO
group19,com.github.codergate.services,RepositoryService,getRepositoryFromUserId,7,1,1,199,0,com.github.codergate.repositories.RepositoryRepository,com.github.codergate.repositories.RepositoryRepository; com.github.codergate.services.RepositoryService
group19,com.github.codergate.services,RepositoryService,getRepositoryResponse,9,1,1,213,0,com.github.codergate.repositories.RepositoryRepository,com.github.codergate.repositories.RepositoryRepository; com.github.codergate.services.RepositoryService; com.github.codergate.dto.controller.RepositoryResponse; com.github.codergate.services.utility.RepositoryUtil
group19,com.github.codergate.services,RepositoryService,convertEntityToDtoForPushEvent,18,4,1,224,0,com.github.codergate.dto.push.RepositoryDTO,com.github.codergate.dto.push.RepositoryDTO
group19,com.github.codergate.services,TagService,addTag,7,2,2,19,0,com.github.codergate.services.TagService,com.github.codergate.services.TagService
group19,com.github.codergate.services,TagService,convertDTOToEntity,7,1,2,31,0,,
group19,com.github.codergate.services,TagService,convertEntityToDTO,16,3,1,43,0,com.github.codergate.dto.push.RepositoryDTO,com.github.codergate.dto.push.RepositoryDTO
group19,com.github.codergate.services,UserService,addUser,10,2,1,28,0,com.github.codergate.services.UserService,com.github.codergate.services.UserService
