Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
group19,com.github.codergate.utils,JwtUtilsTest,testGetGithubSpecificHeaders,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
group19,com.github.codergate.utils,MapperTest,testGetInstanceNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group19,com.github.codergate.utils,MapperTest,testGetInstanceNull,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
group19,com.github.codergate,CoderGateApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
group19,com.github.codergate,CoderGateApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
group19,com.github.codergate,CoderGateApplicationTests,applicationContextTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDataIsNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDataIsNull,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.codergate.services.UserService.convertAccountDtoToEntity; com.github.codergate.entities.UserEntity.toString
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDTOIsEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group19,com.github.codergate.services,UserServiceTest,testConvertAccountDTOToEntityWhenDTOIsEmpty,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.codergate.dto.installation.AccountDTO.setId; com.github.codergate.dto.installation.AccountDTO.setLogin; com.github.codergate.services.UserService.convertAccountDtoToEntity; com.github.codergate.entities.UserEntity.toString
group19,com.github.codergate.services,UserServiceTest,testConvertEntityToAccountDTOWithNonNullValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
group19,com.github.codergate.services,UserServiceTest,testConvertEntityToAccountDTOWithNonNullValues,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.codergate.dto.installation.AccountDTO.setId; com.github.codergate.dto.installation.AccountDTO.setLogin; com.github.codergate.services.UserService.convertEntityToAccountDto; com.github.codergate.dto.installation.AccountDTO.getId; com.github.codergate.dto.installation.AccountDTO.getLogin
group19,com.github.codergate.services,UserServiceTest,testConvertEntityToAccountDTOWithEmptyInput,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group19,com.github.codergate.services,UserServiceTest,testConvertEntityToAccountDTOWithEmptyInput,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.codergate.services.UserService.convertEntityToAccountDto; com.github.codergate.dto.installation.AccountDTO.getId; com.github.codergate.dto.installation.AccountDTO.getLogin
group19,com.github.codergate.services,UserServiceTest,testAddUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
group19,com.github.codergate.services,UserServiceTest,testAddUser,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.github.codergate.dto.installation.AccountDTO.setId; com.github.codergate.dto.installation.AccountDTO.setLogin; com.github.codergate.services.UserService.addUser; com.github.codergate.dto.installation.AccountDTO.getId; com.github.codergate.dto.installation.AccountDTO.getLogin
