Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
group19,com.github.codergate.utils,Constants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CREATION; ACTION; DELETION; REMOVAL; ADDITION; PUSH_EVENT; PULL_REQUEST; BASE_API; USER_DIR
group19,com.github.codergate.services,UserServiceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.services.UserService; com.github.codergate.entities.UserEntity; com.github.codergate.dto.installation.AccountDTO
group19,com.github.codergate.services,WebHookListenerService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handleRepositoryAddition) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.Installation.getAccount; com.github.codergate.dto.installation.AccountDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (removeRepository) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getAccount
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handleInstallationDeletion) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getAccount
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handleInstallationDeletion) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getAccount; com.github.codergate.dto.installation.AccountDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getSender; com.github.codergate.dto.push.SenderDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getSender; com.github.codergate.dto.push.SenderDTO.getLogin
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getPusher; com.github.codergate.dto.push.PusherDTO.getEmail
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getName
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getFork
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getOwner; com.github.codergate.dto.push.OwnerDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getInstallation; com.github.codergate.dto.push.InstallationDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getTagsUrl
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getBranchesUrl
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePushEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.push.PusherPayloadDTO.getRepository; com.github.codergate.dto.push.RepositoryDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePullRequestEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.pullRequest.Repository.getOwner; com.github.codergate.dto.pullRequest.Owner__2.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePullRequestEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.pullRequest.Payload.getInstallation; com.github.codergate.dto.pullRequest.Installation.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePullRequestEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.pullRequest.Repository.getOwner; com.github.codergate.dto.pullRequest.Owner__2.getLogin
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePullRequestEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.pullRequest.Payload.getPullRequest; com.github.codergate.dto.pullRequest.PullRequest.getNumber
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (handlePullRequestEvent) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.pullRequest.Payload.getInstallation; com.github.codergate.dto.pullRequest.Installation.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (configureCodeScanning) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (configureCodeScanning) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getAppSlug
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (configureCodeScanning) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getAccount; com.github.codergate.dto.installation.AccountDTO.getId
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (configureCodeScanning) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getAppSlug
group19,com.github.codergate.services,WebHookListenerService,Law of Demeter violation,The tool detected the smell in this method (configureCodeScanning) because the method voilates the law of Demeter. The long chain of method invocations is : com.github.codergate.dto.installation.InstallationPayloadDTO.getInstallation; com.github.codergate.dto.installation.Installation.getId
group19,com.github.codergate.services,RepositoryService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.dto.installation.RepositoriesAddedDTO; com.github.codergate.dto.controller.RepositoryResponse; com.github.codergate.dto.push.RepositoryDTO
group19,com.github.codergate.services,TagService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.dto.push.RepositoryDTO
group19,com.github.codergate.services,UserService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.dto.push.SenderDTO; com.github.codergate.dto.installation.AccountDTO; com.github.codergate.dto.controller.UserResponse
group19,com.github.codergate.services,BranchService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.dto.push.RepositoryDTO
group19,com.github.codergate.services,ThresholdService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.entities.ThresholdEntity; com.github.codergate.dto.threshold.ThresholdDTO
group19,com.github.codergate.services,EventService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.dto.push.HeadCommitDTO; com.github.codergate.dto.installation.InstallationPayloadDTO
group19,com.github.codergate.services,AnalysisService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.dto.analysis.AnalysisDTO
group19,com.github.codergate.dto.pullRequest,Links,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
group19,com.github.codergate.services.utility,WebHookListenerUtil,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.github.codergate.dto.controller.PullRequestRestRequest
