Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
group19,com.github.codergate.utils,JwtUtilsTest,0,0,1,1,9,1,0,0,-1.0,0,1,/Users/mayankmadan/projects/group19/coder-gate/src/test/java/com/github/codergate/utils/JwtUtilsTest.java,10
group19,com.github.codergate.utils,MapperTest,0,0,3,3,21,3,0,0,-1.0,0,1,/Users/mayankmadan/projects/group19/coder-gate/src/test/java/com/github/codergate/utils/MapperTest.java,7
group19,com.github.codergate.utils,Mapper,1,0,2,1,13,3,0,0,1.0,3,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/utils/Mapper.java,5
group19,com.github.codergate.utils,JwtUtils,2,0,4,2,51,4,0,0,0.75,3,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/utils/JwtUtils.java,25
group19,com.github.codergate.utils,RestClient,9,0,6,3,166,19,0,0,0.3333333333333333,3,2,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/utils/RestClient.java,24
group19,com.github.codergate.utils,Constants,9,9,1,0,14,1,0,0,0.0,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/utils/Constants.java,3
group19,com.github.codergate,CoderGateApplicationTests,0,0,2,1,7,2,0,0,-1.0,0,1,/Users/mayankmadan/projects/group19/coder-gate/src/test/java/com/github/codergate/CoderGateApplicationTests.java,9
group19,com.github.codergate,CoderGateApplication,0,0,1,1,5,1,0,0,-1.0,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/CoderGateApplication.java,6
group19,com.github.codergate.services,UserServiceTest,4,0,18,0,156,18,0,0,0.1111111111111111,0,4,/Users/mayankmadan/projects/group19/coder-gate/src/test/java/com/github/codergate/services/UserServiceTest.java,18
group19,com.github.codergate.services,WebHookListenerService,13,0,9,1,211,39,0,0,0.0,1,23,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/WebHookListenerService.java,40
group19,com.github.codergate.services,RepositoryService,3,0,11,7,200,22,0,0,0.0,3,7,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/RepositoryService.java,19
group19,com.github.codergate.services,TagService,2,0,3,1,47,6,0,0,0.0,1,4,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/TagService.java,12
group19,com.github.codergate.services,UserService,2,0,10,10,184,27,0,0,0.0,3,5,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/UserService.java,19
group19,com.github.codergate.services,BranchService,2,0,3,1,46,5,0,0,0.0,2,4,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/BranchService.java,12
group19,com.github.codergate.services,ThresholdService,2,0,5,5,227,65,0,0,0.0,2,4,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/ThresholdService.java,11
group19,com.github.codergate.services,PullRequestService,3,0,1,0,10,1,0,0,0.0,1,5,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/PullRequestService.java,10
group19,com.github.codergate.services,EventService,2,0,9,5,181,23,0,0,0.0,1,6,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/EventService.java,16
group19,com.github.codergate.services,AnalysisService,4,0,6,6,242,66,0,0,0.0,2,5,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/services/AnalysisService.java,19
group19,com.github.codergate.dto.pullRequest,Tree,3,0,6,6,23,6,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Tree.java,14
group19,com.github.codergate.dto.pullRequest,ReviewComment,2,0,4,4,16,4,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/ReviewComment.java,14
group19,com.github.codergate.dto.pullRequest,Author__1,19,0,38,38,135,38,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Author__1.java,13
group19,com.github.codergate.dto.pullRequest,User__1,19,0,38,38,135,38,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/User__1.java,14
group19,com.github.codergate.dto.pullRequest,Html,2,0,4,4,16,4,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Html.java,14
group19,com.github.codergate.dto.pullRequest,Owner__1,19,0,38,38,135,38,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Owner__1.java,14
group19,com.github.codergate.dto.pullRequest,Payload,7,0,14,14,51,14,0,0,0.5,2,4,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Payload.java,14
group19,com.github.codergate.dto.pullRequest,Base,6,0,12,12,44,12,0,0,0.5,1,2,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Base.java,14
group19,com.github.codergate.dto.pullRequest,Verification,5,0,10,10,37,10,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Verification.java,14
group19,com.github.codergate.dto.pullRequest,Self,2,0,4,4,16,4,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Self.java,14
group19,com.github.codergate.dto.pullRequest,User,19,0,38,38,135,38,0,0,0.5,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/User.java,14
group19,com.github.codergate.dto.pullRequest,Author,4,0,8,8,30,8,0,0,0.375,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Author.java,14
group19,com.github.codergate.dto.pullRequest,Committer,4,0,8,8,30,8,0,0,0.375,1,0,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Committer.java,14
group19,com.github.codergate.dto.pullRequest,Commit,8,0,16,16,58,16,0,0,0.5,1,4,/Users/mayankmadan/projects/group19/coder-gate/src/main/java/com/github/codergate/dto/pullRequest/Commit.java,14
